code,window,imb,n,p_up_close
IC0000,whole afternoon (13:30-14:59),-0.433,2,1.0
IC0000,whole afternoon (13:30-14:59),-0.367,64,0.5625
IC0000,whole afternoon (13:30-14:59),-0.3,972,0.5463
IC0000,whole afternoon (13:30-14:59),-0.233,9967,0.518
IC0000,whole afternoon (13:30-14:59),-0.167,31524,0.5279
IC0000,whole afternoon (13:30-14:59),-0.1,40370,0.5285
IC0000,whole afternoon (13:30-14:59),-0.033,30454,0.5152
IC0000,whole afternoon (13:30-14:59),0.033,16079,0.4998
IC0000,whole afternoon (13:30-14:59),0.1,5103,0.4893
IC0000,whole afternoon (13:30-14:59),0.167,948,0.5454
IC0000,whole afternoon (13:30-14:59),0.233,155,0.5613
IC0000,whole afternoon (13:30-14:59),0.3,17,0.9412
IC0000,whole afternoon (13:30-14:59),0.367,3,1.0
IC0000,last 30 min (14:30-14:59),-0.367,13,0.2308
IC0000,last 30 min (14:30-14:59),-0.3,295,0.5424
IC0000,last 30 min (14:30-14:59),-0.233,3273,0.5029
IC0000,last 30 min (14:30-14:59),-0.167,10439,0.5088
IC0000,last 30 min (14:30-14:59),-0.1,13624,0.5162
IC0000,last 30 min (14:30-14:59),-0.033,9968,0.5132
IC0000,last 30 min (14:30-14:59),0.033,5274,0.5002
IC0000,last 30 min (14:30-14:59),0.1,1634,0.4829
IC0000,last 30 min (14:30-14:59),0.167,251,0.506
IC0000,last 30 min (14:30-14:59),0.233,49,0.449
IF0000,whole afternoon (13:30-14:59),-0.567,5,1.0
IF0000,whole afternoon (13:30-14:59),-0.5,17,0.7059
IF0000,whole afternoon (13:30-14:59),-0.433,39,0.8205
IF0000,whole afternoon (13:30-14:59),-0.367,77,0.7013
IF0000,whole afternoon (13:30-14:59),-0.3,739,0.5291
IF0000,whole afternoon (13:30-14:59),-0.233,7060,0.5072
IF0000,whole afternoon (13:30-14:59),-0.167,32422,0.5139
IF0000,whole afternoon (13:30-14:59),-0.1,52236,0.5102
IF0000,whole afternoon (13:30-14:59),-0.033,40468,0.5055
IF0000,whole afternoon (13:30-14:59),0.033,20382,0.5072
IF0000,whole afternoon (13:30-14:59),0.1,6549,0.4836
IF0000,whole afternoon (13:30-14:59),0.167,1373,0.4596
IF0000,whole afternoon (13:30-14:59),0.233,258,0.3643
IF0000,whole afternoon (13:30-14:59),0.3,13,0.5385
IF0000,whole afternoon (13:30-14:59),0.367,1,1.0
IF0000,last 30 min (14:30-14:59),-0.5,2,1.0
IF0000,last 30 min (14:30-14:59),-0.433,21,0.9048
IF0000,last 30 min (14:30-14:59),-0.367,27,0.7407
IF0000,last 30 min (14:30-14:59),-0.3,184,0.4946
IF0000,last 30 min (14:30-14:59),-0.233,2047,0.4851
IF0000,last 30 min (14:30-14:59),-0.167,10325,0.4857
IF0000,last 30 min (14:30-14:59),-0.1,17872,0.4993
IF0000,last 30 min (14:30-14:59),-0.033,14252,0.5069
IF0000,last 30 min (14:30-14:59),0.033,6530,0.5084
IF0000,last 30 min (14:30-14:59),0.1,1761,0.481
IF0000,last 30 min (14:30-14:59),0.167,261,0.4444
IF0000,last 30 min (14:30-14:59),0.233,81,0.1728
IF0000,last 30 min (14:30-14:59),0.3,8,0.75
IF0000,last 30 min (14:30-14:59),0.367,1,1.0
IH0000,whole afternoon (13:30-14:59),-0.567,5,1.0
IH0000,whole afternoon (13:30-14:59),-0.5,23,0.913
IH0000,whole afternoon (13:30-14:59),-0.433,60,0.6167
IH0000,whole afternoon (13:30-14:59),-0.367,160,0.5562
IH0000,whole afternoon (13:30-14:59),-0.3,534,0.5506
IH0000,whole afternoon (13:30-14:59),-0.233,4783,0.5047
IH0000,whole afternoon (13:30-14:59),-0.167,23652,0.5038
IH0000,whole afternoon (13:30-14:59),-0.1,37270,0.5207
IH0000,whole afternoon (13:30-14:59),-0.033,32654,0.5092
IH0000,whole afternoon (13:30-14:59),0.033,19383,0.4709
IH0000,whole afternoon (13:30-14:59),0.1,6923,0.4876
IH0000,whole afternoon (13:30-14:59),0.167,1959,0.4594
IH0000,whole afternoon (13:30-14:59),0.233,623,0.4671
IH0000,whole afternoon (13:30-14:59),0.3,158,0.6519
IH0000,whole afternoon (13:30-14:59),0.367,52,0.7115
IH0000,whole afternoon (13:30-14:59),0.433,15,0.9333
IH0000,whole afternoon (13:30-14:59),0.5,2,1.0
IH0000,last 30 min (14:30-14:59),-0.5,8,0.875
IH0000,last 30 min (14:30-14:59),-0.433,21,0.4286
IH0000,last 30 min (14:30-14:59),-0.367,63,0.4603
IH0000,last 30 min (14:30-14:59),-0.3,171,0.4854
IH0000,last 30 min (14:30-14:59),-0.233,1568,0.5
IH0000,last 30 min (14:30-14:59),-0.167,7783,0.4827
IH0000,last 30 min (14:30-14:59),-0.1,12588,0.5144
IH0000,last 30 min (14:30-14:59),-0.033,10526,0.5143
IH0000,last 30 min (14:30-14:59),0.033,6402,0.4542
IH0000,last 30 min (14:30-14:59),0.1,2272,0.4344
IH0000,last 30 min (14:30-14:59),0.167,633,0.4408
IH0000,last 30 min (14:30-14:59),0.233,189,0.455
IH0000,last 30 min (14:30-14:59),0.3,32,0.875
IH0000,last 30 min (14:30-14:59),0.367,15,1.0
IH0000,last 30 min (14:30-14:59),0.433,4,1.0
IM0000,whole afternoon (13:30-14:59),-0.367,50,0.94
IM0000,whole afternoon (13:30-14:59),-0.3,450,0.6378
IM0000,whole afternoon (13:30-14:59),-0.233,4772,0.5212
IM0000,whole afternoon (13:30-14:59),-0.167,14650,0.5333
IM0000,whole afternoon (13:30-14:59),-0.1,15773,0.5203
IM0000,whole afternoon (13:30-14:59),-0.033,11487,0.5194
IM0000,whole afternoon (13:30-14:59),0.033,6194,0.4935
IM0000,whole afternoon (13:30-14:59),0.1,1642,0.5438
IM0000,whole afternoon (13:30-14:59),0.167,170,0.6471
IM0000,whole afternoon (13:30-14:59),0.233,30,0.0
IM0000,whole afternoon (13:30-14:59),0.3,1,0.0
IM0000,last 30 min (14:30-14:59),-0.367,16,1.0
IM0000,last 30 min (14:30-14:59),-0.3,112,0.6607
IM0000,last 30 min (14:30-14:59),-0.233,1442,0.5485
IM0000,last 30 min (14:30-14:59),-0.167,4897,0.5346
IM0000,last 30 min (14:30-14:59),-0.1,5348,0.5348
IM0000,last 30 min (14:30-14:59),-0.033,3704,0.5059
IM0000,last 30 min (14:30-14:59),0.033,2157,0.4859
IM0000,last 30 min (14:30-14:59),0.1,534,0.5318
IM0000,last 30 min (14:30-14:59),0.167,39,0.7949
