,豆一,白银,铝,氧化铝,苹果,黄金,沥青,棉花,玉米,红枣,玉米淀粉,铜,苯乙烯,集运指数(欧线),乙二醇,玻璃,燃料油,热卷,铁矿石,鸡蛋,焦炭,焦煤,L_FFI.WI,碳酸锂,聚乙烯,原木,生猪,低硫燃料油,甲醇,豆粕,镍,20号胶,菜籽油,铅,钯,棕榈油,液化石油气,花生,丙烯,聚丙烯,瓶片,多晶硅,铂,对二甲苯,螺纹钢,菜籽粕,天然橡胶,纯碱,原油,硅铁,烧碱,工业硅,锰硅,锡,纸浆,白糖,不锈钢,PTA,尿素,PVC,豆油,锌
2010,0.747,,0.004,,,1.514,,2.172,1.863,,,0.85,,,,,0.442,,,,,,,,0.034,,,,,0.795,,,1.322,,,1.582,,,,,,,,,0.491,,1.557,,,,,,,,,0.959,,1.075,,0.459,1.589,0.118
2011,0.284,,0.479,,,0.293,,1.177,0.131,,,0.853,,,,,0.44,,,,0.956,,,,0.914,,,,4.933,1.005,,,0.636,0.998,,1.038,,,,,,,,,0.945,,1.157,,,,,,,,,1.026,,0.783,,0.981,0.881,0.926
2012,0.738,0.363,0.626,,,0.342,,0.873,1.084,,,0.312,,,,3.266,0.093,,,,0.307,,,,0.912,,,,0.064,0.635,,,0.239,0.046,,0.786,,,,,,,,,0.236,,0.582,,,,,,,,,0.547,,0.147,,0.247,0.264,0.465
2013,0.994,1.324,1.415,,,1.717,1.509,0.206,1.128,,,0.58,,,,0.569,0.737,,2.799,0.47,1.056,1.637,,,0.219,,,,0.524,0.211,,,2.631,0.634,,0.85,,,,,,,,,0.734,0.819,1.404,,,,,,,,,1.414,,1.093,,0.48,1.722,0.164
2014,0.479,0.771,0.724,,,0.015,1.296,2.282,0.417,,,0.952,,,,1.645,1.045,1.16,2.555,0.428,1.71,1.382,,,1.581,,,,1.653,0.841,,,1.011,1.3,,1.251,,,,2.048,,,,,2.146,0.638,0.997,,,1.293,,,1.724,,,0.108,,2.173,,1.625,1.233,0.755
2015,1.451,0.227,1.273,,,0.406,1.985,1.28,2.199,,1.986,0.928,,,,0.73,0.454,2.272,1.438,1.64,3.276,1.501,,,0.043,,,,0.518,0.889,1.402,,0.357,0.407,,0.061,,,,1.102,,,,,1.954,0.601,0.763,,,1.482,,,1.135,1.506,,1.37,,0.116,,0.576,0.146,1.012
2016,1.005,1.091,1.173,,,1.238,1.487,1.217,1.052,,0.441,1.25,,,,1.647,2.123,1.669,1.477,0.405,2.44,2.144,,,1.033,,,,1.934,0.945,1.015,,1.486,1.409,,1.272,,,,1.81,,,,,1.47,0.901,2.003,,,1.374,,,2.278,2.175,,1.608,,1.14,,1.352,1.32,2.067
2017,1.287,0.284,1.193,,,0.403,0.102,0.007,1.692,,1.339,1.296,,,,1.04,0.456,0.654,0.228,0.718,0.903,0.579,,,0.151,,,,0.408,0.037,0.618,,0.778,0.541,,1.031,,,,0.479,,,,,1.058,0.118,0.578,,,0.996,,,0.609,0.174,,1.229,,0.169,,0.529,1.61,1.043
2018,0.382,0.473,0.776,,1.459,0.486,0.023,0.002,0.387,,0.984,0.929,,,,0.809,1.447,0.73,0.234,0.524,0.033,0.323,,,1.228,,,,0.786,0.172,0.458,,0.112,0.265,,1.385,,,,0.55,,,,,0.529,0.421,0.911,,0.054,0.546,,,0.066,0.078,4.644,2.067,,0.17,,0.263,0.649,1.015
2019,1.12,1.078,0.71,,1.524,1.503,1.002,0.262,0.31,1.637,0.242,0.41,2.688,,0.393,1.142,0.163,0.635,1.045,0.188,0.124,0.087,,,1.009,,,,0.32,0.42,1.185,2.217,1.597,1.357,,2.042,,,,0.689,,,,,0.422,0.652,0.785,,1.152,0.268,,,0.945,0.363,0.64,1.278,2.143,0.491,0.997,0.319,1.809,0.773
2020,2.168,0.841,0.593,,0.453,0.868,0.46,0.467,3.275,0.403,2.374,0.902,0.22,,0.06,1.151,0.071,1.441,1.525,0.785,1.929,1.589,,,0.357,,,0.848,0.481,1.414,0.563,0.063,1.302,0.001,,0.496,1.629,,,0.387,,,,,1.297,1.123,0.442,0.016,0.859,0.795,,,0.398,0.572,1.665,0.377,0.076,0.998,0.409,0.566,0.807,0.838
2021,0.236,0.519,1.254,,0.99,0.49,0.936,1.482,0.159,1.161,0.047,1.059,1.019,,0.442,0.078,0.978,0.099,0.545,0.121,0.234,0.801,,,0.554,,2.129,1.117,0.25,0.337,0.776,0.481,1.115,0.184,,0.835,0.763,0.538,,0.174,,,,,0.107,0.181,0.301,1.046,1.425,0.718,,,0.631,2.548,0.326,0.652,0.918,1.0,1.011,0.611,0.57,0.739
2022,0.856,0.655,0.258,,0.086,0.944,0.614,1.561,0.485,0.716,0.035,0.174,0.087,,0.471,0.05,0.156,0.206,0.748,0.274,0.112,0.261,,,0.229,,0.544,0.486,0.237,0.986,1.034,0.887,0.304,0.318,,0.03,0.194,1.141,,0.185,,,,,0.113,0.423,0.708,0.789,0.549,0.233,,,0.074,0.572,0.592,0.033,0.114,0.457,0.296,1.164,0.13,0.065
2023,0.365,0.647,0.587,2.574,0.058,1.809,0.184,0.538,1.629,1.817,0.467,0.462,0.077,3.072,0.4,0.574,0.385,0.109,0.678,1.026,0.044,0.269,,3.697,0.131,,0.506,0.155,0.354,0.925,1.973,0.824,1.398,0.044,,0.598,0.52,0.937,,0.297,,,,1.99,0.008,0.439,0.572,0.587,0.011,1.329,0.463,1.032,1.24,0.188,0.839,0.744,1.354,0.442,0.545,0.437,0.808,0.452
2024,2.105,0.946,0.098,1.006,0.68,1.982,0.002,1.154,0.899,1.962,1.307,0.543,0.288,0.534,0.493,0.875,0.507,1.052,0.682,0.38,1.034,1.436,,0.842,0.013,1.049,0.724,0.072,0.888,1.045,0.012,1.351,0.783,0.409,,1.139,0.408,0.791,,0.038,1.596,,,1.216,1.019,0.532,1.176,0.715,0.118,0.278,0.16,1.136,0.053,0.751,0.217,0.456,0.449,1.165,0.917,0.679,0.282,1.01
2025,0.743,3.007,1.416,1.643,1.46,2.604,0.953,0.905,0.297,0.053,0.094,1.955,0.86,0.037,1.394,0.508,0.941,0.278,0.157,0.053,0.104,0.06,4.161,1.468,2.028,0.425,0.69,1.145,1.033,0.194,0.501,0.549,0.264,0.383,2.577,0.145,0.443,0.125,1.462,1.749,0.172,1.07,3.734,0.248,0.344,0.102,0.522,0.574,0.755,0.488,0.936,0.687,0.018,1.426,0.52,1.644,0.351,0.239,0.225,0.431,0.218,0.551
2026,2.21,0.563,0.49,0.028,2.546,0.248,2.177,1.69,1.346,0.47,1.642,0.553,1.986,2.378,1.292,0.184,2.25,1.697,0.005,3.252,1.356,1.504,1.78,1.607,1.627,1.349,0.265,2.263,1.58,1.188,0.739,1.959,0.927,0.891,1.065,1.556,1.888,1.156,2.404,2.417,1.876,2.382,0.437,1.274,1.065,0.516,1.57,0.505,1.755,1.224,0.331,0.175,0.657,1.399,2.156,0.687,1.668,1.394,0.809,0.45,1.433,0.738
